SN,KP,PMID,Triple,Category,Gene Symbol,Cell type,Disease,Drugs,Pathway,Symptoms,Patient characteristics,Expression level,Markers,Environmental factors,Metabolites,Fact or Inference,一级标签,二级标签,三级标签,四级标签,五级标签,最具体的标签描述
5385,KP3,34204543,Inhibition of CDK4/6#is a therapeutic approach for#ovarian cancer patients,Therapeutic Development,"CDK4,CDK6",-,Ovarian cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5104,KP3,34204543,CDK4/CDK6 inhibitors#confirmed#CDKs as valid therapeutic targets in some types of cancer,Cancer Association,"CDK4,CDK6",-,Cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
967,KP3,34204543,CDK4/CDK6 inhibitors#are used for#treatment of ER-positive metastatic breast cancer,Clinical Implementation,"CDK4,CDK6",-,ER-positive metastatic breast cancer,CDK4/6 inhibitors,-,-,ER-positive,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
4024,KP3,29097609,Cell-cycle inhibitor therapies#are advancing for#pediatric cancer,Therapeutic Development,-,-,Pediatric cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5493,KP3,29097609,Cell-cycle and checkpoint regulators#play pivotal roles in#therapeutic development for pediatric cancer,Mechanism of Action,-,-,Pediatric cancer,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
5759,KP3,29097609,"Drugs targeting CDK4/CDK6 (palbociclib, ribociclib, abemaciclib)#are presented for#pediatric patients",Drug Development,"CDK4,CDK6",-,Pediatric cancer,"Palbociclib, Ribociclib, Abemaciclib",-,-,Pediatric,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.2,晚期实体瘤
1317,KP3,28042706,CDK4/6 inhibitor palbociclib#showed clinical efficacy in combination with#cetuximab in HNSCC patients,Combination Optimization,"CDK4,CDK6",-,HNSCC,"Palbociclib, Cetuximab",-,-,-,-,-,-,-,Fact,3,3.2,3.2.2,3.2.2.4,-,多靶点抑制策略
1582,KP3,34654798,CDK inhibitor p27(kip1)#affects#response to CDK4/6 inhibitor palbociclib in colorectal cancer,Mechanism of Action,"CDK4,CDK6,CDKN1B",-,Colorectal cancer,Palbociclib,-,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.4,-,替代性生存通路
4951,KP3,29408328,"B-ALL cell lines#are treated with#ribociclib, a specific CDK4/6 inhibitor",Preclinical Models,"CDK4,CDK6",B-ALL cell lines,B-ALL,Ribociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
7528,KP3,29408328,Combined treatment with ribociclib and dexamethasone#increases#glucocorticoid receptor (GR) expression,Mechanism of Action,"CDK4,CDK6",B-ALL cell lines,-,"Ribociclib, Dexamethasone",-,-,-,Upregulated,-,-,-,Fact,1,1.2,1.2.3,1.2.3.1,-,翻译后修饰
7376,KP3,38670537,Abemaciclib#has#more tolerable adverse effects in metastatic breast cancer patients,Therapeutic Response,"CDK4,CDK6",-,Metastatic breast cancer,Abemaciclib,-,-,-,-,-,-,-,Fact,8,8.4,8.4.1,8.4.1.2,-,非血液学毒性
178,KP3,28947133,Targeting cyclin D-CDK4/6 kinase complexes#increases#survival of ER-positive breast cancer patients,Therapeutic Response,"CDK4,CDK6",-,ER-positive breast cancer,-,Cyclin D-CDK4/6 pathway,-,ER-positive,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3495,KP3,28947133,CDK4/6 inhibitors#are tested for#treatment of malignancies with hyper-activation of cyclin D-CDK4/6 complexes,Cancer Association,"CDK4,CDK6",-,Cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
3050,KP3,37451269,Combination of endocrine therapy and CDK4/6 inhibitors#is a hallmark in#metastatic luminal breast cancer,Combination Optimization,"CDK4,CDK6",-,Metastatic luminal breast cancer,"CDK4/6 inhibitors, Endocrine therapy",-,-,-,-,-,-,-,Fact,3,3.2,3.2.1,3.2.1.3,-,协同抗增殖作用
2480,KP3,26149830,Targeting CDK4/CDK6-cyclin D1-Rb-p16/ink4a pathway#has potential for#treating glioblastoma and brain metastases,Cancer Pathways,"CDK4,CDK6,CCND1,RB1,CDKN2A",-,"Glioblastoma, Brain metastases",-,CDK4/CDK6-cyclin D1-Rb-p16/ink4a pathway,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.1,-,RB蛋白磷酸化
7291,KP3,26149830,Orally dosed abemaciclib#increases#survival in a rat orthotopic U87MG xenograft model,Preclinical Models,"CDK4,CDK6",-,-,Abemaciclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
1677,KP3,31448056,CDK4/6 inhibitors#exhibited#remarkable results for ER-positive breast cancer patients in clinical trials,Therapeutic Response,"CDK4,CDK6",-,ER-positive breast cancer,-,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
5778,KP3,31448056,Mechanism of CDK4/6 inhibitor resistance#remains#unclear,Resistance Mechanisms,"CDK4,CDK6",-,ER-positive breast cancer,-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.3,2.1.3.3,-,非编码RNA表达变化
6115,KP3,38302240,CDK4/6 inhibitors#promote#cell cycle arrest in the G1 phase,Cell Cycle Control,"CDK4,CDK6",-,Cancer,-,G1 phase,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.1,-,G1期阻滞
7685,KP3,38302240,CDK4/6 inhibitors#inhibit#cancer cell proliferation,Cancer Pathways,"CDK4,CDK6",-,Cancer,-,-,-,-,-,-,-,-,Fact,1,1.1,1.1.3,1.1.3.3,-,增殖抑制
5380,KP3,34890965,Tamoxifen and fulvestrant#are used for#endocrinal therapy,Clinical Implementation,-,-,-,"Tamoxifen, Fulvestrant",-,-,-,-,-,-,-,Fact,8,8.2,8.2.1,8.2.1.2,-,联合降雌激素药物
6723,KP3,34948218,CDK4/6 inhibition#is beneficial in#ER-positive breast cancer treatment,Therapeutic Response,"CDK4,CDK6",-,ER-positive breast cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2941,KP3,34948218,CDK4/6 inhibition#improves#progression-free survival of patients,Therapeutic Response,"CDK4,CDK6",-,ER-positive breast cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
4082,KP3,26264704,Palbociclib#is#a first-in-class CDK4/6 inhibitor,Drug Development,"CDK4,CDK6",-,Advanced breast cancer,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3042,KP3,26264704,"Palbociclib#was approved by#FDA for HR-positive, HER2-negative advanced breast cancer",Clinical Implementation,"CDK4,CDK6",-,"HR-positive, HER2-negative advanced breast cancer",Palbociclib,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
6863,KP3,26264704,Palbociclib#is used in combination with#letrozole for postmenopausal women,Combination Optimization,"CDK4,CDK6",-,"HR-positive, HER2-negative advanced breast cancer","Palbociclib, Letrozole",-,-,Postmenopausal,-,-,-,-,Fact,8,8.2,8.2.1,8.2.1.1,8.2.1.1.1,来曲唑
3707,KP3,26264704,Palbociclib with fulvestrant#resulted in#superior outcome than fulvestrant alone,Combination Optimization,"CDK4,CDK6",-,Advanced breast cancer,"Palbociclib, Fulvestrant",-,-,-,-,-,-,-,Fact,8,8.2,8.2.1,8.2.1.2,8.2.1.2.1,氟维司群
139,KP3,26264704,Current development of CDK4/6 inhibitors#focuses on#advanced hormone-receptor-positive breast cancer treatment,Therapeutic Development,"CDK4,CDK6",-,Advanced hormone-receptor-positive breast cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
480,KP3,31612739,CDK9 and CDK4/6 inhibitors#are#a promising therapeutic approach in AML,Therapeutic Development,"CDK9,CDK4,CDK6",-,Acute myeloid leukemia (AML),-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3176,KP3,31612739,Greater comprehension of disease mechanisms#drives#investigation of new targeted treatments,Therapeutic Development,-,-,Acute myeloid leukemia (AML),-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5463,KP3,31612739,Targeting the CDK pathway#is#a promising therapeutic strategy in AML,Therapeutic Development,"CDK4,CDK6,CDK9",-,Acute myeloid leukemia (AML),-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2654,KP3,31612739,CDK4/6 inhibition#has#selective activity in KMT2A-rearrangements and FLT3 mutations,Molecular Event,"CDK4,CDK6,KMT2A,FLT3",-,Acute myeloid leukemia (AML),-,-,-,-,-,-,-,-,Fact,5,5.5,5.5.1,5.5.1.1,-,错义突变
2024,KP3,36033522,GLR2007#demonstrates#activity against IDH wild-type glioblastoma and other solid tumors,Drug Development,"CDK4,CDK6",-,"Glioblastoma, solid tumors",GLR2007,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2891,KP3,36033522,CDK4/6 inhibitors#showed#preclinical efficacy in solid tumors,Preclinical Models,"CDK4,CDK6",-,Solid tumors,Abemaciclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
212,KP3,36033522,Poor blood-brain barrier penetration#limits#efficacy in GBM,Resistance Mechanisms,"CDK4,CDK6",-,Glioblastoma (GBM),Abemaciclib,-,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.4,-,替代性生存通路
7321,KP3,36033522,GLR2007#was evaluated in#human GBM and breast cancer orthotopic xenograft models,Preclinical Models,"CDK4,CDK6",-,"Glioblastoma, breast cancer",GLR2007,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3705,KP3,39379427,FDA#has approved#CDK4/6 inhibitors for metastatic breast cancer,Clinical Implementation,"CDK4,CDK6",-,Metastatic breast cancer,-,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.2,晚期实体瘤
6065,KP3,30343527,"CDK4/6 inhibitors#are effective for#HR-positive, HER2-negative advanced breast cancer",Therapeutic Response,"CDK4,CDK6",-,"HR-positive, HER2-negative advanced breast cancer",-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5258,KP3,39885369,CDK4/6 inhibitors#have shown#clinical activity in HR-positive metastatic breast cancer,Therapeutic Response,"CDK4,CDK6",-,HR-positive metastatic breast cancer,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5292,KP3,39885369,Effectiveness of CDK4/6 inhibitors#remains#limited in other cancer types,Resistance Mechanisms,"CDK4,CDK6",-,Other cancer types,-,-,-,-,-,-,-,-,Fact,2,2.1,2.1.2,2.1.2.4,-,替代性生存通路
3020,KP3,36003783,GFI1-36N leukemic cells#exhibit#higher protein levels of CDK4 and CDK6,Expression Patterns,"CDK4,CDK6",-,-,-,-,-,-,upregulated,-,-,-,Fact,1,1.1,1.1.2,1.1.2.3,-,复合物活性调节
7069,KP3,36003783,Increased CDK4/6 levels#lead to#faster proliferation of GFI1-36N leukemic cells in vitro,Cell Cycle Control,"CDK4,CDK6",-,-,-,-,-,-,-,-,-,-,Fact,1,1.4,1.4.1,1.4.1.2,-,细胞周期进程
3180,KP3,36003783,GFI1-36N leukemic cells#are more susceptible to#palbociclib treatment,Therapeutic Response,"CDK4,CDK6",-,Leukemia,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
710,KP3,36003783,GFI1-36N variant#increases#proliferation of leukemic cells,Mechanism of Action,GFI1,-,Acute Myeloid Leukemia (AML),Palbociclib,CDK4/CDK6 pathway,-,Specific subset of AML patients,-,Marker for sensitivity to CDK4/6 inhibitors,-,-,Inference,1,1.1,1.1.1,1.1.1.3,-,细胞周期检查点控制
7338,KP3,31823286,Palbociclib#is used to treat#ER-positive and HER2-negative advanced breast cancer,Therapeutic Response,"CDK4,CDK6",-,Advanced breast cancer,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
908,KP3,35075231,Oncogenic splice variant of PDGFRA#is a therapeutic target for#selective CDK4/6 inhibitors,Cancer Association,PDGFRA,-,Glioblastoma,-,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
621,KP3,35075231,PDGFRA-mutated HEK293T cells#exhibited#higher proliferative activity via CDK4/CDK6-cyclin D1 signaling pathway,Mechanism of Action,"PDGFRA,CDK4,CDK6,CCND1",HEK293T cells,-,-,CDK4/CDK6-cyclin D1 pathway,-,-,Upregulated,-,-,-,Fact,1,1.1,1.1.2,1.1.2.1,-,Cyclin D-CDK4复合物
42,KP3,35075231,PDGFRA-mutated HEK293T cells#showed#higher sensitivity to CDK4/CDK6 inhibitors,Therapeutic Response,"PDGFRA,CDK4,CDK6",HEK293T cells,-,-,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
7008,KP3,27571378,Palbociclib#is approved for#ER-positive and HER2-negative breast cancer,Clinical Implementation,"CDK4,CDK6",-,Breast cancer,Palbociclib,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
3748,KP3,32934206,Palbociclib#has been granted#accelerated approval by US FDA for hormone receptor-positive HER2-negative metastatic breast cancer,Clinical Implementation,"CDK4,CDK6",-,Metastatic breast cancer,Palbociclib,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
1272,KP3,39196911,Resistance to traditional treatments#necessitates#novel treatment strategies,Therapeutic Development,-,-,Cancer,-,-,-,-,-,-,-,-,Inference,2,2.5,2.5.2,2.5.2.3,-,个体化方案
6519,KP3,39196911,20% of HR+ breast cancer patients#develop#primary resistance to CDK4/6 inhibitors,Therapeutic Resistance,"CDK4,CDK6",-,HR+ breast cancer,-,-,-,-,-,-,-,-,Fact,2,2.2,2.2.1,2.2.1.1,-,RB通路缺陷
5482,KP3,39196911,Cells#were treated with#ribociclib at two time points,Technical Methods,"CDK4,CDK6",-,-,Ribociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5034,KP3,39196911,CDON mRNA expression#increased#significantly,Expression Patterns,CDON,-,-,-,-,-,-,Upregulated,-,-,-,Fact,1,1.5,1.5.2,1.5.2.1,-,关键转录因子
788,KP3,27167191,Combined inhibition of MEK and CDK4/6#is effective in#KRAS mutant CRC preclinical models,Combination Therapies,"CDK4,CDK6,KRAS",-,Colorectal cancer (CRC),"MEK inhibitors, CDK4/6 inhibitors",-,-,-,-,-,-,-,Fact,3,3.2,3.2.2,3.2.2.3,-,MEK抑制剂组合
5035,KP3,31207004,Palbociclib#is assessed for#treating canine mammary tumors,Preclinical Models,"CDK4,CDK6",-,Canine mammary tumors,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2259,KP3,31207004,Therapy of canine mammary tumors with classical drugs#is problematic due to#limited efficacy,Therapeutic Development,-,-,Canine mammary tumors,-,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5185,KP3,31207004,"Palbociclib#inhibits#CDK4 and CDK6, key regulators of cell cycle machinery",Mechanism of Action,"CDK4,CDK6",-,-,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5670,KP3,31207004,Palbociclib#has#antitumor effects on CMT cells,Therapeutic Response,"CDK4,CDK6",-,Canine mammary tumors,Palbociclib,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2491,KP3,27099147,30% of AML patients#have#FLT3 receptor tyrosine kinase ITDs,Cancer Association,FLT3,-,Acute Myeloid Leukemia (AML),-,-,-,-,-,-,-,-,Fact,1,1.3,1.3.2,1.3.2.1,-,RAS/RAF/MEK/ERK级联
6101,KP3,27099147,Palbociclib#induces#apoptosis of FLT3-ITD leukemic cells,Therapeutic Response,"CDK4,CDK6,FLT3",-,Acute Myeloid Leukemia (AML),Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.3,3.1.3.3,-,生存信号抑制
4700,KP3,34739066,ERBB2-low expression#is associated with#efficacy of CDK4/6 inhibitors,Therapeutic Response,"CDK4,CDK6,ERBB2",-,Metastatic breast cancer,-,-,-,-,Low (ERBB2),-,-,-,Inference,7,7.2,7.2.1,7.2.1.2,7.2.1.2.4,ER/PR状态
1271,KP3,34739066,Low levels of ERBB2 expression#are associated with#progression-free survival,Clinical Correlation,"ERBB2,CDK4,CDK6",-,Metastatic breast cancer,-,-,-,-,Low (ERBB2),-,-,-,Fact,7,7.2,7.2.1,7.2.1.2,7.2.1.2.4,ER/PR状态
6722,KP3,31399936,Ribociclib#penetrates#tumor tissue,Drug Development,"CDK4,CDK6",Tumor tissue,Glioblastoma,Ribociclib,Rb,Recurrent,Upregulated,-,-,-,-,Fact,3,3.6,3.6.1,3.6.1.4,-,组织渗透增强
4979,KP3,31399936,Ribociclib#modulates#Rb signaling pathway,Pathway & Network Categories,"CDK4,CDK6",Tumor tissue,Glioblastoma,Ribociclib,Rb,Recurrent,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.1,-,RB蛋白磷酸化
5532,KP3,31399936,Pharmacodynamic markers of Ribociclib#showed#inconsistent modulation,Biomarker Analysis,"CDK4,CDK6",Tumor tissue,Glioblastoma,Ribociclib,-,Recurrent,-,Pharmacodynamic,-,-,-,Fact,7,7.3,7.3.1,7.3.1.1,7.3.1.1.4,细胞周期分布
4014,KP3,29852762,Palbociclib#treated#metastatic breast cancer,Therapeutic Response,"CDK4,CDK6",-,Metastatic breast cancer,Palbociclib,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
1584,KP3,27939057,CDK4/6 inhibitors#improve#progression-free survival in advanced breast cancer,Therapeutic Response,"CDK4,CDK6",-,Advanced breast cancer,CDK4/6 inhibitors,-,Progression-free survival,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
1835,KP3,37946508,Patients#were treated with#CDK4/6 inhibitor and endocrine therapy,Combination Optimization,"CDK4,CDK6",-,HR+/HER2- metastatic breast cancer,"CDK4/6 inhibitors, endocrine therapy",-,-,-,-,-,-,-,Fact,3,3.2,3.2.1,3.2.1.1,-,雌激素信号阻断
4549,KP3,33732653,NRAS mutant melanoma patients#have#limited treatment options,Therapeutic Resistance,NRAS,-,Metastatic melanoma,-,-,-,-,-,-,-,-,Fact,2,2.2,2.2.1,2.2.1.4,-,关键基因突变
6720,KP3,29847850,CDK4/6 inhibitors#transform#care for HR+/HER2- advanced breast cancer,Therapeutic Development,"CDK4,CDK6",-,HR+/HER2- advanced breast cancer,"Palbociclib, Ribociclib, Abemaciclib",-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
2761,KP3,30685576,CDK4/6 inhibitors#treat#women with HR+/HER2- advanced breast cancer,Therapeutic Development,"CDK4,CDK6",-,HR+/HER2- advanced breast cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
1715,KP3,39271490,CDK4/6 inhibitors#increase#risk of adverse events when combined with endocrine drugs,Safety Monitoring,"CDK4,CDK6",-,HR+/HER2- advanced breast cancer,"CDK4/6 inhibitors, endocrine drugs",-,Adverse events,-,-,-,-,-,Fact,3,3.2,3.2.1,3.2.1.4,-,耐药机制克服
5752,KP3,39271490,"Abemaciclib#results in#highest risk of discontinuation, dose reduction, and serious adverse events",Safety Monitoring,"CDK4,CDK6",-,HR+/HER2- advanced breast cancer,Abemaciclib,-,Serious adverse events,-,-,-,-,-,Fact,8,8.4,8.4.1,8.4.1.3,-,预防和处理
7182,KP3,39271490,Ribociclib#caused#highest risk of death,Safety Monitoring,"CDK4,CDK6",-,HR+/HER2- advanced breast cancer,Ribociclib,-,Death,-,-,-,-,-,Fact,8,8.4,8.4.1,8.4.1.3,-,预防和处理
5077,KP3,33663223,CDK4/6 inhibitors#are approved for#HR+/HER2- advanced breast cancer,Regulatory Documentation,"CDK4,CDK6",-,HR+/HER2- advanced breast cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
185,KP3,35373292,CDK4 and CDK6#phosphorylate#RB1 to release E2F,Mechanism of Action,"CDK4,CDK6,RB1,E2F",-,-,-,G1/S transition,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.2,-,E2F转录因子释放
752,KP3,35373292,CDK4/6 inhibitors#enhance#immune-mediated cell killing via DR5 upregulation,Immune Cell Functions,"CDK4,CDK6,DR5",-,-,CDK4/6 inhibitors,-,-,Upregulated,-,-,-,-,Fact,3,3.3,3.3.2,3.3.2.2,-,T细胞活化增强
6413,KP3,34065376,Specific CDKIs#have activity in#selected patients dependent on rearrangements and mutations,Biomarker Analysis,"CDK4,CDK6",-,-,-,-,-,-,-,-,-,-,Fact,7,7.4,7.4.1,7.4.1.2,-,分子亚型
2061,KP3,34065376,FDA-approved CDK4/6 inhibitors#include#traditional and novel pan-CDKIs and dual kinase inhibitors,Drug Development,"CDK4,CDK6",-,-,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,8,8.2,8.2.1,8.2.1.1,-,联合芳香化酶抑制剂
6120,KP3,34997364,Barriers and facilitators#affect#adherence to CDK4/6 inhibitors among MBC patients,Patient Behavior Analysis,"CDK4,CDK6",-,Metastatic breast cancer,-,-,-,-,-,-,-,-,Fact,8,8.6,8.6.1,8.6.1.2,-,评估内容
3194,KP3,34094661,CDK4/6 inhibitors#are approved for#treatment of metastatic hormone receptor-positive breast cancer,Clinical Implementation,"CDK4,CDK6",-,Metastatic hormone receptor-positive breast cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,-,HR+/HER2-乳腺癌
2846,KP3,34094661,First-generation pan-CDKIs and second-generation CDKIs#target#cancers during clinical trials,Drug Development,"CDK4,CDK6",-,Cancer,"Flavopiridol, Roscovitine, Dinaciclib, P276-00, AT7519, TG02, Roniciclib, RGB-286638",-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
6699,KP3,34094661,Combination therapy of CDK inhibitors with PD1/PDL1 antibodies#might give insights into#promising cancer treatment strategies,Combination Optimization,"CDK4,CDK6",-,Cancer,PD1/PDL1 antibodies,-,-,-,-,-,-,-,Inference,3,3.2,3.2.2,3.2.2.4,-,多靶点抑制策略
3199,KP3,30143968,CDK4/6 inhibitors#improve#progression-free survival in patients with ER-positive advanced breast cancer,Therapeutic Response,"CDK4,CDK6",-,Endocrine receptor-positive advanced breast cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
4793,KP3,28778953,Epithelial ovarian cancer (EOC)#is treated with#platinum-based therapies,Therapeutic Development,-,-,Epithelial ovarian cancer,Platinum-based therapies,-,-,-,-,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
6388,KP3,28778953,Improved response to platinum#could significantly impact#patient survival,Therapeutic Response,-,-,-,Platinum,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
4280,KP3,28778953,Silencing or pharmacological inhibition of CDK6#increases#EOC cell sensitivity to platinum,Mechanisms of Resistance,CDK6,EOC cells,Epithelial ovarian cancer,Platinum,-,-,-,Downregulated,-,-,-,Fact,2,2.5,2.5.1,2.5.1.1,-,多靶点抑制
2789,KP3,28778953,CDK6#phosphorylates and stabilizes#FOXO3 upon platinum treatment,Mechanism of Action,"CDK6,FOXO3",-,-,Platinum,-,-,-,-,-,-,-,Fact,1,1.1,1.1.1,1.1.1.1,-,RB蛋白磷酸化
3885,KP3,28778953,CDK6#represents#an actionable target to improve platinum efficacy in EOC patients,Therapeutic Development,CDK6,-,Epithelial ovarian cancer,Platinum,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5347,KP3,28778953,CDK4/6 inhibitors#are successfully used in#cancer patients to improve EOC outcomes,Clinical Implementation,"CDK4,CDK6",-,Epithelial ovarian cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
5249,KP3,34588615,Abemaciclib or palbociclib treatment#decreases#cell proliferation in all evaluated cell models,Therapeutic Response,"CDK4,CDK6",-,-,"Abemaciclib, Palbociclib",-,-,-,Downregulated,-,-,-,Fact,3,3.1,3.1.1,3.1.1.1,-,G1/S期转换抑制
3856,KP3,38896996,CDK4/6 inhibitors#impact#breast cancer brain metastasis outcomes,Therapeutic Response,"CDK4,CDK6",-,Breast cancer brain metastasis,CDK4/6 inhibitors,-,-,-,-,-,-,-,Inference,3,3.1,3.1.1,3.1.1.4,-,增殖信号阻断
3951,KP3,38896996,CDK4/6 inhibitors#are recommended as#1st line treatment in HR+HER2- metastatic breast cancer,Clinical Implementation,"CDK4,CDK6",-,HR+HER2- metastatic breast cancer,CDK4/6 inhibitors,-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.1,HR+/HER2-乳腺癌
5450,KP3,31926467,Overexpression and amplification of CDK4/6#may cause#resistance to CDK4/6 inhibitors in preclinical models,Mechanisms of Resistance,"CDK4,CDK6",-,-,CDK4/6 inhibitors,-,-,-,Upregulated,-,-,-,Inference,2,2.1,2.1.1,2.1.1.1,-,CDK4/6基因扩增
7706,KP3,31926467,Palbociclib#is approved to treat#ER+/HER2- breast cancer in combination with letrozole,Clinical Implementation,"CDK4,CDK6",-,ER+/HER2- breast cancer,"Palbociclib, Letrozole",-,-,-,-,-,-,-,Fact,8,8.2,8.2.1,8.2.1.1,8.2.1.1.1,来曲唑
5111,KP3,34145036,JAK2 inhibitors ruxolitinib and fedratinib#are approved for#treatment of myelofibrosis,Clinical Trial Data,JAK2,-,Myelofibrosis,"Ruxolitinib, Fedratinib",-,-,-,-,-,-,-,Fact,8,8.1,8.1.1,8.1.1.1,8.1.1.1.2,晚期实体瘤
2738,KP3,28325261,Selective CDK4/6 inhibitors#received#FDA approval in combination with letrozole and fulvestrant for ER-positive advanced and metastatic BC,Clinical Trial Data,"CDK4,CDK6",-,"Advanced breast cancer, Metastatic breast cancer","Letrozole, Fulvestrant",-,-,-,-,-,-,-,Fact,8,8.2,8.2.1,8.2.1.1,8.2.1.1.1,来曲唑
